VCH;PA;PA-E-SPV;;;;;;;
VCH;1;51;;;;;;;
CTA;REP;INT;GC;REP-E-SPV;INT-E-SPV;;;;
CTA;1;51;;;;;;;
CTA;101;102;;;;;;;
CTA;106;108;;;;;;;
CTA;141;157;;;;;;;
SCL;AA;DI;GA;GC;RES;AA-E-SPV;GA-E-SPV;GC-E-SPV;RES-E-SPV
SCL;1;54;;;;;;;
SCL;117;127;;;;;;;
GDE;PA;PA-E;PA-E-SPV;;;;;;
GDE;1;51;;;;;;;
AGL;GC;REP;INT;GC-E;REP-E;GC-E-SPV;;;
AGL;1;51;;;;;;;
AGL;170;178;;;;;;;
JPH;DI;GA;AA;RES;DI-E;GA-E;DI-E-SPV;GA-E-SPV;
JPH;1;51;;;;;;
JPH;71;76;;;;;;
JPH;101;102;;;;;;
JPH;151;165;;;;;;
HDR;DI-E;GA-E;GC-E;REP-E;PA-E;INT-E;RES-E;GE-E
HDR;1;51;;;;;;
EOR;DI-E;GA-E;GC-E;REP-E;PA-E;INT-E;RES-E;GE-E
EOR;1;51;;;;;;
GPE;DI-E;GA-E;GC-E;REP-E;PA-E;INT-E;RES-E;GE-E
GPE;1;51;;;;;;
CJ;DI-E;GA-E;GC-E;REP-E;PA-E;INT-E;RES-E;GE-E
CJ;1;51;;;;;;
CJX1;DI-E;GA-E;GC-E;REP-E;PA-E;INT-E;RES-E;GE-E
CJX2;1;51;;;;;;
